rowNumber,Date,Company,Level,Title,TCOMP,Location,YearsOfExperience,YearsOfService,Tag,BaseSalary,StockGrant,Bonus,Gender,CityId
7921,2019-04-18,AMAZON,L5,Software Engineer,194.0,"Seattle, WA",2,3,Full Stack,112.0,75.0,7.0,Male,11527
7945,2019-04-19,AMAZON,SDE I,Software Engineer,174.0,"Seattle, WA",1,0,Distributed Systems (Back-End),134.0,22.0,18.0,NotDisclosed,11527
7964,2019-04-20,AMAZON,SDE II,Software Engineer,146.0,"Seattle, WA",7,6,Distributed Systems (Back-End),110.0,36.0,0.0,NotDisclosed,11527
8016,2019-04-22,AMAZON,L5,Software Engineer,132.0,"Seattle, WA",9,4,Distributed Systems (Back-End),70.0,62.0,0.0,Male,11527
8018,2019-04-22,AMAZON,SDE I,Software Engineer,208.0,"Seattle, WA",1,0,Robotics,148.0,39.0,21.0,Male,11527
8029,2019-04-22,AMAZON,SDE II,Software Engineer,231.0,"Seattle, WA",11,4,API Development (Back-End),186.0,45.0,0.0,Male,11527
8030,2019-04-22,AMAZON,L5,Software Engineer,273.0,"Seattle, WA",17,3,Full Stack,188.0,85.0,0.0,Male,11527
8086,2019-04-23,AMAZON,SDE III,Software Engineer,222.0,"Seattle, WA",9,12,API Development (Back-End),181.0,41.0,0.0,Male,11527
8091,2019-04-24,AMAZON,Senior SDE,Software Engineer,157.0,"Seattle, WA",5,6,Full Stack,91.0,66.0,0.0,Male,11527
8106,2019-04-24,AMAZON,L5,Software Engineer,254.0,"Seattle, WA",4,7,Full Stack,165.0,89.0,0.0,Male,11527
8114,2019-04-24,AMAZON,L6,Software Engineer,182.0,"Seattle, WA",19,4,DevOps,138.0,44.0,0.0,NotDisclosed,11527
8125,2019-04-25,AMAZON,L5,Software Engineer,205.0,"Seattle, WA",5,1,Full Stack,174.0,18.0,13.0,Male,11527
8161,2019-04-26,AMAZON,L6,Software Engineer,221.0,"Seattle, WA",8,1,Web Development (Front-End),123.0,98.0,0.0,Male,11527
8265,2019-04-30,AMAZON,SDE III,Software Engineer,198.0,"Seattle, WA",11,7,Distributed Systems (Back-End),115.0,83.0,0.0,Male,11527
8302,2019-05-01,AMAZON,L4,Software Engineer,157.0,"Seattle, WA",3,1,Embedded,124.0,18.0,15.0,Male,11527
8345,2019-05-02,AMAZON,L5,Software Engineer,140.0,"Seattle, WA",2,3,Full Stack,80.0,54.0,6.0,Male,11527
8366,2019-05-02,AMAZON,SDE II,Software Engineer,162.0,"Seattle, WA",4,0,Web Development (Front-End),101.0,58.0,3.0,Male,11527
8380,2019-05-03,AMAZON,L5,Software Engineer,208.0,"Seattle, WA",3,4,Distributed Systems (Back-End),177.0,31.0,0.0,Male,11527
8381,2019-05-03,AMAZON,L5,Software Engineer,200.0,"Seattle, WA",3,4,API Development (Back-End),144.0,56.0,0.0,Male,11527
8419,2019-05-04,AMAZON,L5,Software Engineer,221.0,"Seattle, WA",9,4,API Development (Back-End),180.0,41.0,0.0,Male,11527
8566,2019-05-10,AMAZON,L5,Software Engineer,199.0,"Seattle, WA",7,2,Full Stack,125.0,74.0,0.0,Male,11527
8596,2019-05-10,AMAZON,SDE II,Software Engineer,187.0,"Seattle, WA",1,3,Full Stack,134.0,44.0,9.0,Male,11527
8631,2019-05-11,AMAZON,SDE I,Software Engineer,135.0,"Seattle, WA",2,1,ML / AI,108.0,14.0,13.0,Male,11527
8654,2019-05-12,AMAZON,L4,Software Engineer,140.0,"Seattle, WA",0,0,Distributed Systems (Back-End),115.0,25.0,0.0,Male,11527
